propertytype;listingtype;averagedailyrate;occupancyrateltm;numberofbookingsltm;numberofreviews;bedrooms;bathrooms;maxguests;cancellationpolicy;securitydeposit;cleaningfee;extrapeoplefee;publishednightlyrate;publishedmonthlyrate;publishedweeklyrate;minimumstay;numberofphotos;city_num;rating
House;Private room;127;1;83;132;1;2;2;Strict;100;49;;119;2499;708;1;17;12;4
Apartment;Entire home/apt;;;0;0;0;1;1;Flexible;;;;100;2968;0;9;0;75;
Apartment;Entire home/apt;;;0;0;1;1;5;Flexible;;;;400;11200;2800;4;12;78;
Apartment;Shared room;;;0;0;1;2;1;Moderate;;20;;35;980;245;3;9;75;
Townhouse;Private room;60;0;1;0;1;1;2;Flexible;;;;60;1680;420;7;1;69;
House;Private room;61;0;5;4;1;1;1;Strict;500;50;45;60;1950;475;2;1;57;4
House;Private room;;;0;1;1;0;4;Strict;250;75;;500;2000;750;2;22;69;2
Apartment;Entire home/apt;;;0;2;3;1;6;Moderate;1500;120;;1000;28000;7000;3;16;75;4
House;Shared room;;;0;1;1;1;1;Strict;;;;33;924;231;1;1;30;4
House;Private room;175;0;19;75;1;1;2;Moderate;;;;175;4900;1225;2;13;49;4
Apartment;Private room;;;0;0;1;1;2;Strict;;;;300;3379;1100;30;0;75;
House;Entire home/apt;421;0;14;17;3;2;6;Flexible;500;150;;400;8000;2500;3;42;46;4
Condominium;Private room;99;1;2;2;1;1;2;Flexible;;;;78;2184;546;3;10;75;3
House;Entire home/apt;248;1;11;17;2;2;4;Strict;250;100;30;225;6300;1500;3;28;75;4
Apartment;Private room;;;0;2;1;1;1;Flexible;;;;39;1092;273;1;7;75;3
House;Entire home/apt;205;1;44;34;3;2;8;Strict;1000;;50;200;5600;1400;3;19;75;4
House;Entire home/apt;;;0;0;1;1;2;Strict;1000;125;;375;10500;2625;2;13;75;
House;Shared room;;;0;8;1;2;5;Moderate;300;30;60;50;1516;0;5;0;75;3
Apartment;Private room;82;1;68;62;1;1;5;Strict;150;18;35;53;1484;371;1;5;75;2
Apartment;Entire home/apt;335;1;4;3;2;2;5;Flexible;;;;375;10500;2625;3;18;53;4
House;Entire home/apt;;;0;0;2;1;5;Flexible;;;;800;22400;5600;1;10;33;
Apartment;Entire home/apt;;;0;7;1;1;2;Moderate;;20;;70;2095;0;1;0;82;3
Townhouse;Private room;109;1;54;42;1;1;2;Moderate;300;45;;109;1800;500;2;9;84;4
House;Private room;67;0;9;1;1;1;2;Flexible;;;;70;1960;490;2;28;80;4
Villa;Private room;105;0;3;5;1;1;2;Strict;;;;105;2940;735;1;19;12;2
House;Private room;84;1;6;1;1;2;4;Strict;100;65;;59;1652;413;1;14;75;4
House;Entire home/apt;293;0;23;37;2;1;4;Strict;;165;;250;4950;1505;5;11;45;4
Apartment;Private room;;;0;0;1;1;1;Flexible;;;;150;4200;1050;1;1;75;
House;Private room;129;1;18;10;1;1;2;Flexible;;30;10;136;2856;809;4;56;75;3
House;Private room;;;0;0;1;1;3;Strict;500;100;150;499;13972;3493;2;1;30;
House;Private room;135;0;24;24;1;1;2;Strict;;;;120;2800;850;1;14;68;4
Apartment;Private room;;;0;0;1;1;2;Flexible;;;;99;693;2772;1;7;75;
Apartment;Entire home/apt;106;1;2;0;1;1;3;Strict;;;;90;2520;700;2;17;1;
Apartment;Private room;58;1;46;23;1;1;1;Flexible;;22;;52;1456;364;3;5;75;4
House;Private room;66;0;2;0;1;3;2;;250;50;10;60;1680;420;2;10;82;
Apartment;Entire home/apt;172;1;3;1;0;1;4;Strict;;;;180;5040;1260;2;10;75;4
Apartment;Private room;;;0;1;1;1;2;Strict;;10;5;70;2095;0;1;0;53;
Apartment;Entire home/apt;152;0;25;15;0;1;2;Moderate;;10;;120;3360;899;2;12;75;3
Apartment;Private room;;;0;0;1;1;2;Flexible;;10;;100;2800;700;2;27;53;
House;Entire home/apt;;;0;7;2;2;4;Strict;200;75;;185;4240;1100;5;0;75;3
House;Private room;66;1;41;132;1;;2;Moderate;;;20;68;1904;476;2;22;75;3
Bungalow;Entire home/apt;104;1;32;19;0;1;2;Moderate;200;45;;89;2492;623;1;6;1;4
House;Entire home/apt;;;0;0;2;2;5;Flexible;;150;;250;7208;1500;4;13;75;
Apartment;Entire home/apt;;;0;0;3;1;6;Flexible;;;;650;18200;4550;2;12;75;
Castle;Entire home/apt;;;0;0;1;1;4;Flexible;;;;1;31;0;1;0;75;
House;Entire home/apt;307;0;5;6;4;2;7;Strict;500;150;;230;5400;1800;1;32;82;4
Apartment;Entire home/apt;;;0;;2;2;6;Flexible;;80;;200;5936;1400;3;;75;
Apartment;Entire home/apt;236;1;14;17;1;1;2;Strict;;;;240;6720;1500;2;39;75;4
Apartment;Entire home/apt;;;0;4;0;1;2;Moderate;100;50;;116;2650;700;3;0;75;3
Apartment;Private room;88;1;47;20;1;3;2;Strict;200;69;10;81;2268;567;1;24;75;4
Apartment;Entire home/apt;;;0;0;0;0;2;Flexible;;;;193;5728;0;1;0;75;
Apartment;Private room;101;0;6;2;1;2;2;Flexible;;;;101;2998;707;2;11;75;
Apartment;Entire home/apt;167;1;75;93;1;1;2;Moderate;95;;;150;4200;1050;2;24;69;4
Apartment;Private room;158;0;9;15;1;1;2;Flexible;;;;150;4200;1050;2;24;75;4
Condominium;Entire home/apt;168;0;1;1;2;2;4;Moderate;;35;;150;4200;600;1;5;57;2
House;Private room;;;0;0;1;1;2;Flexible;;;125;110;3265;700;2;0;75;
Condominium;Entire home/apt;800;0;4;2;3;2;6;Flexible;;;;850;23800;5000;1;30;75;3
House;Entire home/apt;106;1;16;57;0;1;2;Moderate;;50;10;95;2820;630;15;23;8;4
House;Shared room;54;0;20;12;1;3;1;Strict;;25;;59;1652;413;3;8;75;4
Apartment;Entire home/apt;394;1;17;7;4;2;10;Strict;500;170;;400;9990;2600;3;23;75;1
House;Private room;92;0;31;31;1;1;2;Strict;100;30;;88;2464;631;1;16;79;4
House;Entire home/apt;;;0;0;2;2;4;Flexible;500;50;;495;13860;3465;1;9;75;
House;Private room;;;0;;1;1;1;Strict;;;;89;1463;450;7;;92;
Apartment;Shared room;35;1;1;0;1;1;2;Flexible;;;;35;980;245;1;2;75;
"Bed &amp; Breakfast";Private room;;;0;0;1;1;2;Flexible;;;;750;21000;5250;1;5;44;
House;Entire home/apt;261;1;8;5;2;1;4;Strict;400;80;;250;7000;1400;4;17;75;4
House;Entire home/apt;201;0;9;;3;2;6;Moderate;100;30;10;228;5075;1357;1;;53;
House;Entire home/apt;228;0;1;0;2;1;4;Moderate;;95;20;189;5292;1323;2;17;75;
Apartment;Entire home/apt;147;1;4;3;1;1;2;Strict;;75;;150;4200;1050;1;10;75;4
House;Private room;357;0;45;24;1;1;2;Flexible;;;;360;10080;1800;1;44;51;4
Apartment;Entire home/apt;;;0;0;0;1;2;Flexible;100;50;;69;1932;483;14;7;75;
House;Private room;;;0;0;1;1;1;Flexible;;40;;88;2464;616;4;10;75;
House;Private room;;;0;0;1;1;2;Moderate;;;;99;2772;559;2;4;75;
Apartment;Private room;;;0;0;1;1;2;Flexible;;;;150;4200;1050;1;3;75;
Apartment;Entire home/apt;1028;1;7;0;2;1;5;Strict;2500;245;;999;27972;6993;7;16;75;
Apartment;Entire home/apt;;;0;0;2;2;6;Strict;400;;;695;19460;6000;2;7;75;
House;Shared room;65;0;1;0;1;1;2;Flexible;100;15;;50;1400;350;1;2;62;
House;Entire home/apt;144;1;70;107;2;1;6;Moderate;;25;;150;4200;850;3;9;53;4
Apartment;Private room;125;0;2;0;1;1;1;Moderate;400;50;;120;3360;840;3;10;44;
Apartment;Private room;216;1;53;23;1;1;2;Moderate;;50;;195;5460;1365;2;6;75;3
Bungalow;Entire home/apt;154;1;17;14;1;1;4;Moderate;600;50;;149;3000;850;1;31;2;4
Apartment;Private room;91;0;19;35;1;1;2;Strict;;10;20;50;1350;350;14;5;75;3
Apartment;Entire home/apt;294;1;7;15;2;1;4;Strict;250;100;15;275;7000;1900;4;17;75;4
Apartment;Entire home/apt;;;0;;0;1;2;Flexible;;;;148;4393;1036;1;;75;
Apartment;Entire home/apt;76;1;9;3;1;1;2;Moderate;;;;79;2212;553;1;8;8;4
House;Private room;;;0;0;1;1;1;Flexible;;;;150;4200;1050;1;2;83;
House;Private room;84;0;6;6;1;1;2;Flexible;;;;84;1267;468;1;22;15;4
House;Private room;51;1;11;14;1;2;2;Strict;300;25;25;49;1372;350;2;23;43;4
House;Private room;94;1;12;20;1;1;2;Moderate;;35;35;120;2300;600;1;12;83;4
House;Private room;107;1;19;8;1;1;5;Strict;200;45;30;59;1652;413;1;8;75;2
Townhouse;Private room;;;0;;1;1;2;Flexible;;;;350;10388;2450;3;;30;
Apartment;Entire home/apt;308;0;1;1;1;1;3;Flexible;;;;308;9141;2156;2;14;75;4
House;Private room;100;1;3;0;1;1;2;Moderate;100;;;100;2800;700;1;1;75;
Apartment;Entire home/apt;185;1;38;52;1;1;2;Moderate;;;;185;5180;1295;2;13;75;4
House;Entire home/apt;268;1;6;8;3;3;6;Strict;200;130;;225;3800;1400;3;21;8;3
House;Private room;;;0;0;1;1;2;Flexible;;;;92;2576;644;1;1;62;
House;Entire home/apt;456;0;11;1;3;3;6;Strict;1000;195;50;400;11200;2800;6;22;75;4
Apartment;Entire home/apt;525;1;18;12;3;1;8;Moderate;;95;;898;25144;6286;2;16;75;4
House;Private room;90;1;10;12;1;1;2;Moderate;;40;;88;2464;616;1;25;75;4
House;Private room;319;0;10;1;1;1;1;Flexible;;;;500;14000;3500;1;1;64;4
House;Private room;110;1;30;14;1;1;2;Flexible;;50;;95;2660;500;1;8;75;3
Apartment;Entire home/apt;657;1;2;0;1;1;4;Flexible;250;25;30;650;2500;1000;2;2;75;
House;Private room;;;0;1;1;1;1;Flexible;;25;;59;1305;399;1;0;33;
Apartment;Entire home/apt;261;0;2;9;2;1;2;Moderate;199;79;;269;5899;1666;2;18;75;2
Apartment;Shared room;40;0;59;33;1;1;1;Flexible;;;10;36;1008;252;1;18;53;4
Apartment;Entire home/apt;350;1;4;1;1;1;2;Moderate;;60;;333;9324;2331;1;36;75;4
House;Private room;;;0;0;1;1;1;Flexible;;;;85;2380;595;1;4;75;
House;Private room;80;0;2;0;1;1;2;Flexible;;;;80;2240;560;1;24;75;
House;Private room;61;0;5;2;1;1;4;Moderate;100;15;30;62;1736;340;2;21;53;4
Apartment;Private room;;;0;0;1;1;2;Flexible;;30;;78;2184;546;1;1;75;
Apartment;Entire home/apt;;;0;2;2;3;5;Moderate;;;20;599;13500;3500;3;8;75;4
Apartment;Entire home/apt;150;0;2;1;1;1;6;Moderate;100;;;139;2699;759;1;4;75;2
Apartment;Entire home/apt;421;1;8;4;2;1;6;Strict;5000;115;;400;7500;2500;3;61;75;4
Apartment;Private room;197;1;20;13;1;1;2;Strict;;65;;140;3920;950;1;22;75;4
Apartment;Entire home/apt;161;1;9;7;1;1;2;Moderate;150;75;;150;4200;700;1;14;82;4
Apartment;Private room;;;0;1;1;1;2;Moderate;200;50;;100;2800;700;3;5;75;2
Bungalow;Entire home/apt;134;1;27;10;0;1;2;Flexible;;;;160;4480;1120;1;8;45;4
Apartment;Entire home/apt;156;1;5;4;0;1;2;Moderate;300;80;;150;4200;1050;5;12;75;4
Apartment;Private room;;;0;0;1;1;2;Flexible;;20;10;99;2938;0;1;0;75;
Apartment;Private room;88;0;1;0;1;1;1;Flexible;;25;;169;4732;1183;2;3;75;
Apartment;Entire home/apt;;;0;4;3;2;6;Moderate;450;150;;750;12500;4000;3;55;75;
Apartment;Shared room;;;0;0;1;1;1;Flexible;;;;55;1100;275;1;7;75;
Apartment;Private room;95;1;32;19;1;1;2;Moderate;100;10;10;101;2489;792;1;15;75;4
Apartment;Entire home/apt;88;1;19;1;1;1;2;Flexible;100;25;;80;2240;560;2;19;75;4
Apartment;Entire home/apt;514;0;3;0;3;2;6;Strict;1500;150;;450;12600;3150;3;20;75;
Apartment;Entire home/apt;;;0;0;2;2;6;Strict;;200;;800;22400;5600;1;10;75;
Apartment;Entire home/apt;360;1;2;0;2;2;6;Strict;;80;50;350;9800;2450;3;3;75;
Apartment;Entire home/apt;138;0;5;1;1;1;2;Moderate;250;75;;143;3300;1000;7;5;75;4
Apartment;Entire home/apt;159;1;7;10;2;1;4;Strict;2500;110;10;159;4452;846;14;24;8;4
House;Entire home/apt;;;0;0;3;2;6;Flexible;;;;185;5180;1295;9;18;56;
House;Private room;;;0;0;1;1;4;Flexible;;50;;200;5600;1400;3;18;27;
Condominium;Private room;42;0;1;;1;1;3;Flexible;;;;42;1359;315;1;;16;
Apartment;Private room;500;1;1;1;1;4;2;Flexible;;;;500;2500;800;2;6;75;4
House;Shared room;;;0;3;1;3;1;Flexible;;;;18;564;0;1;0;75;3
House;Entire home/apt;372;1;2;1;3;2;6;Flexible;500;110;;348;10329;1975;6;26;75;
Apartment;Shared room;;;0;13;1;1;1;Strict;;10;;34;1046;0;3;11;68;2
Apartment;Entire home/apt;;;0;;1;1;4;Strict;250;85;;139;3116;735;1;;53;
Apartment;Entire home/apt;99;0;7;3;0;1;3;Moderate;;;;99;2938;693;1;9;8;4
Apartment;Private room;67;1;43;27;1;1;2;Moderate;;;;73;1533;434;1;18;30;4
Apartment;Entire home/apt;179;1;6;20;1;1;4;Moderate;250;;25;185;5180;1200;4;22;75;3
House;Private room;78;0;74;74;1;1;1;Flexible;100;;10;75;2100;525;1;36;53;4
House;Entire home/apt;692;1;2;5;4;5;8;Strict;1000;180;;695;19460;4865;1;42;75;4
House;Entire home/apt;;;0;0;4;2;6;Flexible;400;140;;500;14000;3000;1;8;75;
House;Private room;94;1;67;47;1;1;2;Flexible;;20;;85;2380;595;1;6;75;4
Apartment;Private room;66;0;4;18;1;1;2;Flexible;;;25;65;1820;400;1;5;75;4
House;Private room;90;1;48;66;1;1;2;Strict;;;;110;3080;770;1;16;53;3
Apartment;Entire home/apt;236;0;3;2;1;1;2;Flexible;;60;25;209;6000;2000;1;2;75;3
Apartment;Private room;;;0;0;1;1;2;Flexible;;;;80;2240;560;1;10;75;
Apartment;Entire home/apt;;;0;0;2;2;4;Flexible;500;100;;150;4200;1050;5;22;8;
Apartment;Private room;;;0;0;1;1;3;Flexible;200;75;45;175;3498;1000;1;0;75;
House;Private room;;;0;4;1;2;2;Moderate;;;;65;1000;300;1;8;53;2
Apartment;Shared room;60;0;2;0;1;1;2;Flexible;;;;60;1807;420;1;6;75;
House;Entire home/apt;545;1;3;9;3;3;6;Strict;500;150;;550;13000;3500;5;19;7;3
House;Private room;;;0;0;1;2;1;Flexible;;;;48;1344;336;14;5;73;
Townhouse;Private room;96;0;8;3;1;1;4;Flexible;95;30;10;78;2184;546;1;11;79;4
House;Private room;218;0;5;3;1;1;3;Moderate;100;30;;140;3920;950;1;43;1;4
Apartment;Entire home/apt;;;0;0;1;1;1;Flexible;;;;250;7000;1750;1;1;75;
Apartment;Private room;;;0;0;1;1;2;Flexible;500;50;25;100;2968;0;1;0;75;
Apartment;Private room;149;1;1;1;1;1;2;Moderate;;;;149;4172;1043;2;8;75;4
Apartment;Entire home/apt;450;0;1;0;1;1;2;Flexible;;;;250;7000;1750;1;9;75;
Apartment;Entire home/apt;;;0;0;1;1;2;Moderate;200;80;;100;2800;700;2;10;75;
Apartment;Entire home/apt;;;0;1;0;1;2;Flexible;;;;80;2240;560;1;2;75;4
Townhouse;Entire home/apt;;;0;1;3;3;5;Flexible;350;175;;350;9800;2450;5;18;19;4
House;Entire home/apt;;;0;;4;3;10;Strict;1450;88;60;40;1222;280;5;;44;
